No,Animal_ID,Final_result,MERS_RNA_copiesPerml,Bionote_result,Viral Isolation
847,L00011129,Negative,,Negative,Negative
848,L00011128,Negative,,Negative,Negative
849,L00011127,Negative,,Negative,Negative
850,L00011126,Negative,,Negative,Negative
851,L00011125,Negative,,Negative,Negative
852,L00011124,Negative,,Negative,Negative
853,L00011123,Negative,,Negative,Negative
854,L00011122,Negative,,Negative,Negative
855,L00011121,Negative,,Negative,Negative
856,L00011120,Negative,,Negative,Negative
857,L00011119,Negative,,Negative,Negative
858,L00011118,Negative,,Negative,Negative
859,L00011117,Negative,,Negative,Negative
860,L00011116,Negative,,Negative,Negative
861,L00011115,Negative,,Negative,Negative
862,L00011114,Negative,,Negative,Negative
863,L00011113,Negative,,Negative,Negative
864,L00011112,Negative,,Negative,Negative
865,L00011111,Negative,,Negative,Negative
866,L00011110,Negative,,Negative,Negative
867,L00011109,Negative,,Negative,Negative
868,L00011108,Negative,,Negative,Negative
869,L00011107,Negative,,Negative,Negative
870,L00011106,Negative,,Negative,Negative
871,L00011105,Negative,,Negative,Negative
872,L00011104,Negative,,Negative,Negative
873,L00011103,Negative,,Negative,Negative
874,L00011102,Negative,,Negative,Negative
875,L00011101,Positive,3.77E+07,Positive,Negative
876,L00011100,Negative,,Negative,Negative
877,L00011099,Negative,,Negative,Negative
878,L00011098,Negative,,Negative,Negative
879,L00011097,Negative,,Negative,Negative
